price,region,address,bedrooms,bathrooms
"799,000","Ajax, ON","2 ROLLO DR, Ajax, Ontario",3,3
"989,000","Ajax, ON","717 OLD HARWOOD AVE, Ajax, Ontario",2 + 1,1
"999,900","Ajax, ON","52 ADDLEY CRES, Ajax, Ontario",3,4
"799,900","Ajax, ON","249 MONARCH AVE, Ajax, Ontario",3,3
"899,999","Ajax, ON","18 MONK CRES, Ajax, Ontario",3,3
"1,199,000","Ajax, ON","4 SALLIS DR, Ajax, Ontario",4,3
"2,600,000","Ajax, ON","45 BLOWER RD, Ajax, Ontario",,
"899,000","Ajax, ON","38 E COXHEAD Lane, Durham, Ontario",3 + 0,0
"1,449,000","Ajax, ON","4 BIGGS DR, Ajax, Ontario",4 + 1,4
"549,900","Ajax, ON","#415 -191 LAKE DRIVEWAY WAY, Ajax, Ontario",2,2
"1,088,000","Ajax, ON","899 FINLEY AVE, Ajax, Ontario",3,3
"899,999","Ajax, ON",Address not available,3,3
"633,000","Ajax, ON","#502 -92 CHURCH ST S, Ajax, Ontario",2,2
"899,000","Ajax, ON","38 COXHEAD LANE, Ajax, Ontario",3,3
"1,199,000","Ajax, ON","4 STOCKBRIDGE CRES, Ajax, Ontario",3,3
"899,000","Ajax, ON","57 CULLCASTLE ST, Ajax, Ontario",3,3
"999,900","Ajax, ON","11 BOOKER DR, Ajax, Ontario",3,3
"999,900","Ajax, ON","14 TILLER ST, Ajax, Ontario",3,3
"999,900","Ajax, ON","14 TILLER Street, Ajax, Ontario",3 + 0,3
"938,800","Ajax, ON","93 CARPENDALE CRES, Ajax, Ontario",3,3
"1,199,999","Ajax, ON","31 BELLOTTI CRES, Ajax, Ontario",4,3
"999,000","Ajax, ON","18 CRANLEY CRT, Ajax, Ontario",3 + 1,4
"899,000","Ajax, ON","100 CHRISTENA CRES, Ajax, Ontario",3 + 2,2
"850,000","Ajax, ON","37 BEATTY RD, Ajax, Ontario",3,2
"1,289,900","Ajax, ON","25 DEVERILL CRES, Ajax, Ontario",3 + 1,3
"1,395,000","Ajax, ON","48 LOUGHLIN HILL CRES, Ajax, Ontario",2 + 1,3
"775,000","Ajax, ON","124 CARPENDALE CRES, Ajax, Ontario",3,2
"999,000","Ajax, ON","113 ELLIOTTGLEN DR, Ajax, Ontario",3,4
"1,190,000","Ajax, ON","24 RAITHBY CRES, Ajax, Ontario",4 + 1,4
"950,000","Ajax, ON","38 CEDAR ST, Ajax, Ontario",4 + 1,2
"729,000","Ajax, ON","160 CLEMENTS RD E, Ajax, Ontario",3,3
"1,099,000","Ajax, ON","22 COUGHLEN ST, Ajax, Ontario",3,3
"749,900","Ajax, ON","29 CLOWES ST W, Ajax, Ontario",2 + 1,3
"1,799,000","Ajax, ON","16 BRICE DR, Ajax, Ontario",4,5
"1,099,000","Ajax, ON","44 STRICKLAND DR, Ajax, Ontario",4 + 1,4
"999,898","Ajax, ON","18 FITZGERALD DR, Ajax, Ontario",2 + 1,2
"699,000","Ajax, ON","16 THORNHARROLD ST, Ajax, Ontario",2,2
"1,149,000","Ajax, ON","42 ATHERTON AVE, Ajax, Ontario",3 + 1,3
"1,750,717","Ajax, ON","PT L11 WESTNEY RD N, Ajax, Ontario",0,
"990,000","Ajax, ON","91 FEINT DR, Ajax, Ontario",3,4
"949,900","Ajax, ON","28 ELGIN ST, Ajax, Ontario",3 + 1,2
"989,900","Ajax, ON","487 ROSSLAND RD E, Ajax, Ontario",3,3
"998,000","Ajax, ON","51 GURR CRES, Ajax, Ontario",3 + 1,4
"1,099,000","Ajax, ON","36 TODHUNTER CRES, Ajax, Ontario",3 + 1,4
"800,000","Ajax, ON","20 WEEKES DR, Ajax, Ontario",3,2
"1,799,900","Ajax, ON","141 ELIZABETH ST, Ajax, Ontario",4 + 1,4
"1,388,000","Ajax, ON","127 KEARNEY DR, Ajax, Ontario",4,4
"949,900","Ajax, ON","134 ATHERTON AVE, Ajax, Ontario",3,3
"699,000","Ajax, ON","92 BURCHER RD, Ajax, Ontario",3,1
"699,000","Ajax, ON","31 WINDSOR AVE, Ajax, Ontario",3,1
"899,000","Ajax, ON","58 BOOTH CRES, Ajax, Ontario",3,3
"849,900","Ajax, ON","9 MILLINGTON CRES, Ajax, Ontario",3,4
"999,999","Ajax, ON","66 KNAPTON AVE, Ajax, Ontario",4 + 1,4
"1,200,000","Ajax, ON","804 AUDLEY RD S, Ajax, Ontario",4,4
"799,990","Ajax, ON","571 ROSSLAND RD E, Ajax, Ontario",3,3
"799,900","Ajax, ON","44 HORNSELL CIRC, Ajax, Ontario",3,3
"1,499,900","Ajax, ON","8 SIVYER CRES, Ajax, Ontario",4 + 2,4
"899,000","Ajax, ON","38 BOYLETT RD, Ajax, Ontario",4,3
"749,000","Ajax, ON","128 WRIGHT CRES, Ajax, Ontario",3 + 1,3
"699,900","Ajax, ON","#1211 -2 WESTNEY RD N, Ajax, Ontario",2,2
"1,250,000","Ajax, ON","76 RADFORD DR, Ajax, Ontario",3,4
"999,000","Ajax, ON","36 ADMIRAL RD, Ajax, Ontario",3 + 2,2
"879,900","Ajax, ON","26 ALDONSCHOOL CRT, Ajax, Ontario",3,4
"989,900","Ajax, ON","38 O'DELL CRT, Ajax, Ontario",3 + 1,2
"799,900","Ajax, ON","479 ROSSLAND RD E, Ajax, Ontario",3 + 1,3
"1,399,000","Ajax, ON","42 WILSONGARY CIRC, Ajax, Ontario",4,3
"799,998","Ajax, ON","68 WESTRAY CRES, Ajax, Ontario",3,3
"799,900","Ajax, ON","86 THORP CRES, Ajax, Ontario",3 + 1,3
"799,000","Ajax, ON","26 HEWITT CRES, Ajax, Ontario",3 + 1,2
"916,121","Ajax, ON","175 DELANEY DR, Ajax, Ontario",3 + 2,2
"1,399,990","Ajax, ON","8 SNOWLING DR, Ajax, Ontario",4,4
"999,000","Ajax, ON","56 SNOWLING DR, Ajax, Ontario",3,3
"899,900","Ajax, ON","21 TRAWLEY CRES, Ajax, Ontario",3,2
"1,999,999","Ajax, ON","50 WESTON CRES, Ajax, Ontario",5 + 1,5
"1,599,888","Ajax, ON","11 STOCKELL CRES, Ajax, Ontario",4 + 2,5
"1,199,000","Ajax, ON","31 DEVINERIDGE AVE, Ajax, Ontario",3,3
